date,time,entidad,compra,venta
2026-06-20,2026-06-20T14:07:15Z,Cambio Extranjero,58.2,
2026-06-20,2026-06-20T14:07:15Z,Asociación Romana,57.65,
2026-06-20,2026-06-20T14:07:15Z,Moneycorps,58,58.75
2026-06-20,2026-06-20T14:07:15Z,Taveras,58,58.75
2026-06-20,2026-06-20T14:07:15Z,RM,58.3,58.849999999999994
2026-06-20,2026-06-20T14:07:15Z,Panora Exchange,58.15,58.9
2026-06-20,2026-06-20T14:07:15Z,Gamelin,58.1,59
2026-06-20,2026-06-20T14:07:15Z,SCT,58,59
2026-06-20,2026-06-20T14:07:15Z,Asociación Cibao de Ahorros y Préstamos,56.9,59.9
2026-06-20,2026-06-20T14:07:15Z,Banco BHD,56.15,59.9
2026-06-20,2026-06-20T14:07:15Z,Banreservas,56.9,59.9
2026-06-20,2026-06-20T14:07:15Z,Motor Crédito,57.949999999999996,59.9
2026-06-20,2026-06-20T14:07:15Z,Banco Lafise,56.5,60
2026-06-20,2026-06-20T14:07:15Z,Bonanza Banco,58,60
2026-06-20,2026-06-20T14:07:15Z,Banco Unión,58,60
2026-06-20,2026-06-20T14:07:15Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-06-20,2026-06-20T14:07:15Z,Banesco,57,60
2026-06-20,2026-06-20T14:07:15Z,Banco Caribe,57,60
2026-06-20,2026-06-20T14:07:15Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-06-20,2026-06-20T14:07:15Z,Abonap,56.92,60.05
2026-06-20,2026-06-20T14:07:15Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.55
