date,time,entidad,compra,venta
2026-08-02,2026-08-02T13:24:25Z,Cambio Extranjero,58,
2026-08-02,2026-08-02T13:24:25Z,Asociación Romana,57.3,
2026-08-02,2026-08-02T13:24:25Z,Taveras,58,58.6
2026-08-02,2026-08-02T13:24:25Z,RM,58.25,58.6
2026-08-02,2026-08-02T13:24:25Z,Panora Exchange,58.05,58.6
2026-08-02,2026-08-02T13:24:25Z,Moneycorps,58.1,58.78
2026-08-02,2026-08-02T13:24:25Z,Gamelin,58,58.8
2026-08-02,2026-08-02T13:24:25Z,SCT,58.2,58.8
2026-08-02,2026-08-02T13:24:25Z,Asociación La Nacional de Ahorros y Préstamos,56.6,59.5
2026-08-02,2026-08-02T13:24:25Z,Banco Unión,57.5,59.5
2026-08-02,2026-08-02T13:24:25Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.5
2026-08-02,2026-08-02T13:24:25Z,Motor Crédito,57.8,59.5
2026-08-02,2026-08-02T13:24:25Z,Banco BHD,56,59.8
2026-08-02,2026-08-02T13:24:25Z,Bonanza Banco,57.8,59.8
2026-08-02,2026-08-02T13:24:25Z,Banreservas,56.5,60
2026-08-02,2026-08-02T13:24:25Z,Banesco,56.8,60
2026-08-02,2026-08-02T13:24:25Z,Banco Lafise,56.7,60
2026-08-02,2026-08-02T13:24:25Z,Asociación Peravia de Ahorros y Préstamos,56.1,60.25
