date,time,entidad,compra,venta
2026-04-17,2026-04-17T16:57:14Z,Asociación Romana,59.1,
2026-04-17,2026-04-17T16:57:14Z,Cambio Extranjero,59.9,60.5
2026-04-17,2026-04-17T16:57:14Z,Moneycorps,59.75,60.6
2026-04-17,2026-04-17T16:57:14Z,SCT,59.8,60.7
2026-04-17,2026-04-17T16:57:14Z,Panora Exchange,59.7,60.7
2026-04-17,2026-04-17T16:57:14Z,RM,60.25,60.8
2026-04-17,2026-04-17T16:57:14Z,Taveras,60.3,60.9
2026-04-17,2026-04-17T16:57:14Z,Gamelin,59.9,60.9
2026-04-17,2026-04-17T16:57:14Z,Bonanza Banco,59.2,61.2
2026-04-17,2026-04-17T16:57:14Z,Motor Crédito,59.2,61.25
2026-04-17,2026-04-17T16:57:14Z,Asociación Duarte,58.4,61.4
2026-04-17,2026-04-17T16:57:14Z,Asociación Cibao de Ahorros y Préstamos,59,61.5
2026-04-17,2026-04-17T16:57:14Z,Banco Unión,58.5,61.5
2026-04-17,2026-04-17T16:57:14Z,Banreservas,58.5,61.5
2026-04-17,2026-04-17T16:57:14Z,Banco Caribe,59,61.5
2026-04-17,2026-04-17T16:57:14Z,Abonap,58.57,61.74
2026-04-17,2026-04-17T16:57:14Z,Asociación La Nacional de Ahorros y Préstamos,58.3,61.8
2026-04-17,2026-04-17T16:57:14Z,Banco BHD,58.4,61.9
2026-04-17,2026-04-17T16:57:14Z,Banco Lafise,58.4,61.9
2026-04-17,2026-04-17T16:57:14Z,Banesco,58.3,61.9
2026-04-17,2026-04-17T16:57:14Z,Asociación Peravia de Ahorros y Préstamos,58.4,61.9
2026-04-17,2026-04-17T16:57:14Z,Asociación Popular de Ahorros y Préstamos,58.5,61.9
