date,time,entidad,compra,venta
2026-07-01,2026-07-01T20:48:50Z,Cambio Extranjero,58.5,
2026-07-01,2026-07-01T20:48:50Z,Asociación Romana,57.65,
2026-07-01,2026-07-01T20:48:50Z,Panora Exchange,58.5,59.5
2026-07-01,2026-07-01T20:48:50Z,SCT,58.5,59.6
2026-07-01,2026-07-01T20:48:50Z,Moneycorps,58.5,59.7
2026-07-01,2026-07-01T20:48:50Z,Gamelin,58.5,59.7
2026-07-01,2026-07-01T20:48:50Z,Taveras,58.5,59.7
2026-07-01,2026-07-01T20:48:50Z,Motor Crédito,58.6,60.2
2026-07-01,2026-07-01T20:48:50Z,RM,59.5,60.5
2026-07-01,2026-07-01T20:48:50Z,Bonanza Banco,58.5,60.5
2026-07-01,2026-07-01T20:48:50Z,Asociación Cibao de Ahorros y Préstamos,57.5,60.75
2026-07-01,2026-07-01T20:48:50Z,Banreservas,57.75,60.75
2026-07-01,2026-07-01T20:48:50Z,Banco Caribe,58.25,60.75
2026-07-01,2026-07-01T20:48:50Z,Asociación Popular de Ahorros y Préstamos,58,60.8
2026-07-01,2026-07-01T20:48:50Z,Asociación La Nacional de Ahorros y Préstamos,57.8,60.8
2026-07-01,2026-07-01T20:48:50Z,Banco Lafise,57.5,60.8
2026-07-01,2026-07-01T20:48:50Z,Abonap,57.75,60.809999999999995
2026-07-01,2026-07-01T20:48:50Z,Banesco,57.5,60.849999999999994
2026-07-01,2026-07-01T20:48:50Z,Banco BHD,57.05,60.9
2026-07-01,2026-07-01T20:48:50Z,Banco Unión,58.5,60.9
2026-07-01,2026-07-01T20:48:50Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.9
