date,time,entidad,compra,venta
2026-05-05,2026-05-05T14:00:50Z,Asociación Romana,58.5,
2026-05-05,2026-05-05T14:00:50Z,Moneycorps,59.1,59.8
2026-05-05,2026-05-05T14:00:50Z,RM,59.25,60
2026-05-05,2026-05-05T14:00:50Z,Taveras,59.25,60
2026-05-05,2026-05-05T14:00:50Z,Cambio Extranjero,59.25,60
2026-05-05,2026-05-05T14:00:50Z,Panora Exchange,59.1,60
2026-05-05,2026-05-05T14:00:50Z,Gamelin,59,60
2026-05-05,2026-05-05T14:00:50Z,SCT,59.2,60.3
2026-05-05,2026-05-05T14:00:50Z,Motor Crédito,58.65,60.5
2026-05-05,2026-05-05T14:00:50Z,Asociación Cibao de Ahorros y Préstamos,58.5,61
2026-05-05,2026-05-05T14:00:50Z,Bonanza Banco,59,61
2026-05-05,2026-05-05T14:00:50Z,Banreservas,58,61
2026-05-05,2026-05-05T14:00:50Z,Asociación Peravia de Ahorros y Préstamos,58,61.2
2026-05-05,2026-05-05T14:00:50Z,Banco Unión,58.5,61.25
2026-05-05,2026-05-05T14:00:50Z,Banco Caribe,58.5,61.25
2026-05-05,2026-05-05T14:00:50Z,Abonap,58.120000000000005,61.290000000000006
2026-05-05,2026-05-05T14:00:50Z,Banco BHD,57.7,61.4
2026-05-05,2026-05-05T14:00:50Z,Banco Lafise,57.9,61.4
2026-05-05,2026-05-05T14:00:50Z,Banesco,58,61.4
2026-05-05,2026-05-05T14:00:50Z,Asociación La Nacional de Ahorros y Préstamos,58,61.4
2026-05-05,2026-05-05T14:00:50Z,Asociación Popular de Ahorros y Préstamos,57.75,61.4
