date,time,entidad,compra,venta
2026-08-11,2026-08-11T13:07:21Z,Cambio Extranjero,58.1,
2026-08-11,2026-08-11T13:07:21Z,Asociación Romana,57.5,
2026-08-11,2026-08-11T13:07:21Z,RM,58.3,58.6
2026-08-11,2026-08-11T13:07:21Z,Taveras,58,58.6
2026-08-11,2026-08-11T13:07:21Z,Moneycorps,58.1,58.65
2026-08-11,2026-08-11T13:07:21Z,Panora Exchange,58.05,58.65
2026-08-11,2026-08-11T13:07:21Z,SCT,58.2,58.7
2026-08-11,2026-08-11T13:07:21Z,Gamelin,58,58.8
2026-08-11,2026-08-11T13:07:21Z,Banco Unión,57.5,59.5
2026-08-11,2026-08-11T13:07:21Z,Asociación Cibao de Ahorros y Préstamos,57.5,59.5
2026-08-11,2026-08-11T13:07:21Z,Motor Crédito,57.8,59.5
2026-08-11,2026-08-11T13:07:21Z,Banco BHD,55.9,59.7
2026-08-11,2026-08-11T13:07:21Z,Banco Lafise,56.5,59.8
2026-08-11,2026-08-11T13:07:21Z,Asociación La Nacional de Ahorros y Préstamos,56.8,59.8
2026-08-11,2026-08-11T13:07:21Z,Bonanza Banco,57.8,59.8
2026-08-11,2026-08-11T13:07:21Z,Banreservas,56.4,59.9
2026-08-11,2026-08-11T13:07:21Z,Banesco,56.5,59.9
