date,time,entidad,compra,venta
2026-03-15,2026-03-15T19:30:03Z,Asociación Romana,60.5,
2026-03-15,2026-03-15T19:30:03Z,Taveras,59.15,60.9
2026-03-15,2026-03-15T19:30:03Z,Moneycorps,59.15,61
2026-03-15,2026-03-15T19:30:03Z,Panora Exchange,59.05,61
2026-03-15,2026-03-15T19:30:03Z,Capla,59.1,61.2
2026-03-15,2026-03-15T19:30:03Z,Asociación Peravia de Ahorros y Préstamos,59,61.5
2026-03-15,2026-03-15T19:30:03Z,Banreservas,59.5,61.5
2026-03-15,2026-03-15T19:30:03Z,Banco Caribe,59,61.5
2026-03-15,2026-03-15T19:30:03Z,Gamelin,59.2,61.8
2026-03-15,2026-03-15T19:30:03Z,Motor Crédito,59.949999999999996,61.8
2026-03-15,2026-03-15T19:30:03Z,Asociación Cibao de Ahorros y Préstamos,59,61.9
2026-03-15,2026-03-15T19:30:03Z,Bonanza Banco,59.7,61.9
2026-03-15,2026-03-15T19:30:03Z,RM,60.5,62
2026-03-15,2026-03-15T19:30:03Z,Banco BHD,59.2,62
2026-03-15,2026-03-15T19:30:03Z,Banco Lafise,59.4,62
2026-03-15,2026-03-15T19:30:03Z,Banesco,59.5,62
2026-03-15,2026-03-15T19:30:03Z,Asociación La Nacional de Ahorros y Préstamos,59,62
2026-03-15,2026-03-15T19:30:03Z,Asociación Popular de Ahorros y Préstamos,59,62
2026-03-15,2026-03-15T19:30:03Z,SCT,59.5,62.4
2026-03-15,2026-03-15T19:30:03Z,Cambio Extranjero,60.5,62.449999999999996
2026-03-15,2026-03-15T19:30:03Z,Abonap,60.03,62.46
2026-03-15,2026-03-15T19:30:03Z,Banco Unión,60.25,62.5
2026-03-15,2026-03-15T19:30:03Z,Asociación Duarte,60.5,62.5
