date,time,entidad,compra,venta
2026-07-03,2026-07-03T14:07:52Z,Cambio Extranjero,58.5,
2026-07-03,2026-07-03T14:07:52Z,Asociación Romana,57.65,
2026-07-03,2026-07-03T14:07:52Z,Moneycorps,58.7,59.6
2026-07-03,2026-07-03T14:07:52Z,Panora Exchange,58.75,59.6
2026-07-03,2026-07-03T14:07:52Z,Taveras,58.8,59.6
2026-07-03,2026-07-03T14:07:52Z,Gamelin,58.7,59.75
2026-07-03,2026-07-03T14:07:52Z,SCT,58.8,59.8
2026-07-03,2026-07-03T14:07:52Z,RM,59.1,59.9
2026-07-03,2026-07-03T14:07:52Z,Motor Crédito,58.6,60.2
2026-07-03,2026-07-03T14:07:52Z,Banco Unión,58.5,60.25
2026-07-03,2026-07-03T14:07:52Z,Bonanza Banco,58.5,60.5
2026-07-03,2026-07-03T14:07:52Z,Asociación Cibao de Ahorros y Préstamos,57.5,60.75
2026-07-03,2026-07-03T14:07:52Z,Banreservas,57.75,60.75
2026-07-03,2026-07-03T14:07:52Z,Banco Caribe,58.25,60.75
2026-07-03,2026-07-03T14:07:52Z,Banco Lafise,57.5,60.8
2026-07-03,2026-07-03T14:07:52Z,Asociación La Nacional de Ahorros y Préstamos,57.8,60.8
2026-07-03,2026-07-03T14:07:52Z,Asociación Popular de Ahorros y Préstamos,58,60.8
2026-07-03,2026-07-03T14:07:52Z,Abonap,57.75,60.809999999999995
2026-07-03,2026-07-03T14:07:52Z,Banesco,57.5,60.849999999999994
2026-07-03,2026-07-03T14:07:52Z,Banco BHD,57.05,60.9
2026-07-03,2026-07-03T14:07:52Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.9
