date,time,entidad,compra,venta
2026-06-10,2026-06-10T18:32:13Z,Cambio Extranjero,58.449999999999996,
2026-06-10,2026-06-10T18:32:13Z,Asociación Romana,57.75,
2026-06-10,2026-06-10T18:32:13Z,Moneycorps,58.25,58.949999999999996
2026-06-10,2026-06-10T18:32:13Z,Taveras,58.2,59
2026-06-10,2026-06-10T18:32:13Z,Gamelin,58.15,59.1
2026-06-10,2026-06-10T18:32:13Z,RM,58.7,59.3
2026-06-10,2026-06-10T18:32:13Z,SCT,58.4,59.4
2026-06-10,2026-06-10T18:32:13Z,Panora Exchange,58.6,59.4
2026-06-10,2026-06-10T18:32:13Z,Asociación Peravia de Ahorros y Préstamos,56.6,59.5
2026-06-10,2026-06-10T18:32:13Z,Motor Crédito,57.849999999999994,59.75
2026-06-10,2026-06-10T18:32:13Z,Asociación Cibao de Ahorros y Préstamos,57,60
2026-06-10,2026-06-10T18:32:13Z,Banco Lafise,56.5,60
2026-06-10,2026-06-10T18:32:13Z,Bonanza Banco,57.5,60
2026-06-10,2026-06-10T18:32:13Z,Banco Unión,58,60
2026-06-10,2026-06-10T18:32:13Z,Banreservas,56.5,60
2026-06-10,2026-06-10T18:32:13Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-06-10,2026-06-10T18:32:13Z,Banesco,57,60
2026-06-10,2026-06-10T18:32:13Z,Banco Caribe,58,60
2026-06-10,2026-06-10T18:32:13Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-06-10,2026-06-10T18:32:13Z,Abonap,56.89,60.11
2026-06-10,2026-06-10T18:32:13Z,Banco BHD,56.7,60.2
