date,time,entidad,compra,venta
2026-09-03,2026-09-03T15:56:39Z,Cambio Extranjero,58.6,
2026-09-03,2026-09-03T15:56:39Z,Asociación Romana,57.6,
2026-09-03,2026-09-03T15:56:39Z,Gamelin,58.25,59
2026-09-03,2026-09-03T15:56:39Z,Taveras,58.5,59.3
2026-09-03,2026-09-03T15:56:39Z,Moneycorps,58.5,59.4
2026-09-03,2026-09-03T15:56:39Z,RM,58.8,59.5
2026-09-03,2026-09-03T15:56:39Z,SCT,58.8,59.5
2026-09-03,2026-09-03T15:56:39Z,Panora Exchange,58.849999999999994,59.65
2026-09-03,2026-09-03T15:56:39Z,Banco BHD,56,59.8
2026-09-03,2026-09-03T15:56:39Z,Bonanza Banco,57.8,59.8
2026-09-03,2026-09-03T15:56:39Z,Motor Crédito,57.9,59.8
2026-09-03,2026-09-03T15:56:39Z,Banreservas,56.4,59.9
2026-09-03,2026-09-03T15:56:39Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-03,2026-09-03T15:56:39Z,Asociación Cibao de Ahorros y Préstamos,57.9,59.9
2026-09-03,2026-09-03T15:56:39Z,Banesco,56.5,59.9
2026-09-03,2026-09-03T15:56:39Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-09-03,2026-09-03T15:56:39Z,Banco Lafise,56.6,60
2026-09-03,2026-09-03T15:56:39Z,Banco Unión,58.1,60.2
