date,bank,tipo,buy,sell
2026-07-01,Scotiabank,Dólar (US) Canales Digitales*,57.05,60.8
2026-07-01,Scotiabank,Dólar (US) Sucursales,57.05,60.8
2026-07-01,Banreservas,,57.75,60.75
2026-07-01,Banco Popular,,56.8,60.95
2026-07-01,BHD,,57.05,60.9
2026-07-01,Banco Caribe,,58.25,60.75
2026-07-01,BDI,,57.5,60
2026-07-01,Vimenca,,58,60.7
2026-07-01,Banesco,,57.5,60.849999999999994
2026-07-01,Ademi,,58.5,60.8
2026-07-01,Quezada,,58.25,59.949999999999996
2026-07-01,Lafise,,57.5,60.8
2026-07-01,Promerica,,57.4,60.9
